"file_time","timediff","sample_id","series","vessel","seriavessel","numbers","total_cells","viable_cells","viability","total_cells_per_ml","viable_cells_per_ml","average_diameter","average_circularity"
"2021-03-15 03:19:22.179+03",0,"90100321_v5tu_d0_m1","90100321","v5tu","90100321-v5tu","1",782,768,98.2,0.45,0.441,17,0.874
"2021-03-15 02:29:17.47+03",48,"207180321_v9_d2_m1","207180321","v9","207180321-v9","1",4339,4326,99.7,2.49,2.49,15.2,0.879
"2021-03-15 02:20:58.431+03",48,"207180321_v8_d2_m1","207180321","v8","207180321-v8","1",4303,4297,99.9,2.47,2.47,15.1,0.88
"2021-03-15 02:12:09.956+03",48,"207180321_v7_d2_m1","207180321","v7","207180321-v7","1",4566,4557,99.8,2.62,2.62,15.3,0.881
"2021-03-14 23:44:34.371+03",25,"90100321_v5_d1_m1","90100321","v5","90100321-v5","1",1238,1219,98.5,0.712,0.701,17,0.888
"2021-03-14 20:14:06.992+03",0,"90110421_f500_d0_m1","90110421","f500","90110421-f500","1",823,819,99.5,0.473,0.471,16.5,0.878
"2021-03-14 19:53:48.071+03",236,"207160321_v12_d10_m1","207160321","v12","207160321-v12","1",7153,7049,98.5,20.6,20.3,17.2,0.884
"2021-03-14 19:41:21.748+03",236,"207160321_v11_d10_m1","207160321","v11","207160321-v11","1",7285,7206,98.9,20.9,20.7,17.5,0.88
"2021-03-14 19:29:25.203+03",236,"207160321_v10_d10_m1","207160321","v10","207160321-v10","1",7005,6931,98.9,20.1,19.9,17.3,0.876
"2021-03-14 17:35:24.853+03",39,"207180321_v9_d1_e1","207180321","v9","207180321-v9","1",2902,2891,99.6,1.67,1.66,15,0.892
"2021-03-14 17:30:45.855+03",39,"207180321_v8_d1_e1","207180321","v8","207180321-v8","1",3040,3026,99.5,1.75,1.74,15.1,0.893
"2021-03-14 17:26:08.649+03",39,"207180321_v7_d1_e1","207180321","v7","207180321-v7","1",3132,3126,99.8,1.8,1.8,15.1,0.894
"2021-03-14 17:12:00.887+03",180,"465020321R_v14_d7_e1","465020321R","v14","465020321R-v14","1",4947,4724,95.5,14.2,13.6,15.6,0.892
"2021-03-14 17:05:42.039+03",78,"90110421_f125tu_d4_1","90110421","f125tu","90110421-f125tu","1",4455,4394,98.6,2.56,2.53,16.7,0.883
"2021-03-14 17:02:12.789+03",0,"90120421_f125_0d_1","90120421","f125","90120421-f125","1",871,836,96,0.501,0.481,16.5,0.894
"2021-03-14 16:58:47.097+03",0,"465040421R_f125_0d_1","465040421R","f125","465040421R-f125","1",865,844,97.6,0.497,0.485,17.7,0.858
"2021-03-14 11:25:32.422+03",12,"90100321_v5_d0_e1","90100321","v5","90100321-v5","1",855,823,96.3,0.491,0.473,16.5,0.894
"2021-03-14 10:58:15.171+03",228,"207160321_v12_d9_e1","207160321","v12","207160321-v12","1",6616,6509,98.4,19,18.7,17,0.885
"2021-03-14 10:53:30.462+03",227,"207160321_v11_d9_e1","207160321","v11","207160321-v11","1",7197,7124,99,20.7,20.5,17.2,0.886
